Brand,Saleprice,MRP,Weight,ProductType,Rating,ProductDetails,Description
,,,,,,,
bb Royal,778,950,2x5 kg,,,"Foodgrains, Oil & Masala",Organic - Ponni Raw Rice
,,,,,,,
bb Royal,150,180,500 g,veg,,"Foodgrains, Oil & Masala",Organic Tamarind
,,,,,,,
bb Royal,75,80,500 g,veg,4,"Foodgrains, Oil & Masala",Organic Rajma Sharmili
,,,,,,,
bb Royal,162,165,1 kg,veg,,"Foodgrains, Oil & Masala","Organic - Basmati Rice, Brown"
,,,,,,,
bb Royal,82,110,500 g,veg,,"Foodgrains, Oil & Masala",Organic Red Rajma
,,,,,,,
bb Royal,219,259,2 kg,veg,4,"Foodgrains, Oil & Masala",Organic - Foxtail Millet / Italian (Thinai Rice)
,,,,,,,
bb Royal,85,125,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic Moong Dal Atta
,,,,,,,
bb Royal,81,137,Combo,,,"Foodgrains, Oil & Masala",Organic - Turmeric Powder 100g + Chilli Powder 100g + Coriander Powder 100g
,,,,,,,
bb Royal,75,75,500 g,veg,,"Foodgrains, Oil & Masala",Organic - White Peas
,,,,,,,
bb Royal,26,45,200 g,veg,4.2,"Foodgrains, Oil & Masala",Organic - Flax Seeds
,,,,,,,
bb Royal,16,29,100 g,veg,4.2,"Foodgrains, Oil & Masala",Organic - Mustard/Rai Yellow
,,,,,,,
bb Royal,145,170,100 g,veg,,"Foodgrains, Oil & Masala",Organic - Cashew Split
,,,,,,,
bb Royal,28,58,200 g,veg,4.1,"Foodgrains, Oil & Masala",Organic Fried Gram/Bengal Gram Dal
,,,,,,,
bb Royal,499,599,10 kg,,,"Foodgrains, Oil & Masala",Organic - Wheat Sharbati
,,,,,,,
bb Royal,475,549,10 kg,,,"Foodgrains, Oil & Masala",Organic - Wheat Lokwan
,,,,,,,
bb Royal,62,79,500 g,veg,4,"Foodgrains, Oil & Masala",Organic Kodo Millet/Varagu Rice
,,,,,,,
bb Royal,46,85,100 g,veg,4.2,"Foodgrains, Oil & Masala",Organic - Dry Ginger Powder
,,,,,,,
bb Royal,74,99,50 g,veg,4.4,"Foodgrains, Oil & Masala",Organic - White Pepper
,,,,,,,
bb Royal,61,65,500 g,veg,,"Foodgrains, Oil & Masala",Organic - Soyabean Whole
,,,,,,,
bb Royal,78,79,500 g,veg,,"Foodgrains, Oil & Masala",Organic - Proso Millet
,,,,,,,
bb Royal,96,99,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic - Urad Dal Atta
,,,,,,,
bb Royal,75,101,500 g,veg,4,"Foodgrains, Oil & Masala",Organic Brown Top Millet
,,,,,,,
bb Royal,79,79,1 kg,veg,4.3,"Foodgrains, Oil & Masala",Organic - Wheat Broken / Dhaliya
,,,,,,,
bb Royal,120,120,500 g,,,"Foodgrains, Oil & Masala",Organic - Black Rice
,,,,,,,
bb Royal,70,79,500 g,veg,3.8,"Foodgrains, Oil & Masala",Organic Masoor Dal Atta
,,,,,,,
bb Royal,41,45,500 g,veg,4,"Foodgrains, Oil & Masala",Organic Bajra Atta
,,,,,,,
bb Royal,41,55,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic Barley Atta
,,,,,,,
bb Royal,70,85,500 g,veg,,"Foodgrains, Oil & Masala","Organic - Lobia, White"
,,,,,,,
bb Royal,61,65,1 kg,veg,,"Foodgrains, Oil & Masala",Organic - Broken Rice
,,,,,,,
bb Royal,72,89,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic - Moth whole
,,,,,,,
bb Royal,29,55,100 g,veg,,"Foodgrains, Oil & Masala",Organic - Amla Powder
,,,,,,,
bb Royal,17,29,50 g,veg,4,"Foodgrains, Oil & Masala",Organic - Fennel /Saunf Powder
,,,,,,,
bb Royal,52,80,500 g,veg,,"Foodgrains, Oil & Masala",Organic Soya Atta
,,,,,,,
bb Royal,25,49,50 g,veg,,"Foodgrains, Oil & Masala",Organic - Dry Ginger Flakes
,,,,,,,
bb Royal,41,45,500 g,veg,,"Foodgrains, Oil & Masala",Organic - Red Rice Rava
,,,,,,,
bb Royal,35,46,500 g,veg,,"Foodgrains, Oil & Masala",Organic - Maize flour/Makka Atta
,,,,,,,
bb Royal,23,52,200 g,veg,4.1,"Foodgrains, Oil & Masala",Organic - Methi/Fenugreek Powder
,,,,,,,
bb Royal,34,85,100 g,veg,,"Foodgrains, Oil & Masala",Organic - Amchur/Amchoor Powder
,,,,,,,
bb Royal,72,149,100 g,veg,,"Foodgrains, Oil & Masala",Organic - Wheat Grass Powder
,,,,,,,
bb Royal,222,282,Combo,,,"Foodgrains, Oil & Masala",Organic - Red Masoor Dal 500g + Kabuli Chana 500g + Rajma Chitra 500g
,,,,,,,
Organic Tattva,49.5,55,100 g,veg,4,"Foodgrains, Oil & Masala",Organic Powder - Red Chilly
,,,,,,,
bb Royal,379,449,5 Kg,veg,,"Foodgrains, Oil & Masala",Organic Sona Masoori Semi Brown Rice - Handpounded
,,,,,,,
bb Royal,309,389,200 g,veg,,"Foodgrains, Oil & Masala",Organic - Cashew/Kaju Whole Super Premium
,,,,,,,
bb Royal,125,175,1 kg,veg,,"Foodgrains, Oil & Masala",Organic - Foxtail Millet/Italian Thinai Rice Flour
,,,,,,,
bb Royal,66,88,500 g,veg,,"Foodgrains, Oil & Masala",Organic - Little Millet/Samai Rice Flour
,,,,,,,
Eco Fresh,80,80,500 g,veg,4,"Foodgrains, Oil & Masala",Organic Food - Jaggery Granules
,,,,,,,
Eco Fresh,110,110,400 g,veg,3.9,"Foodgrains, Oil & Masala",Organic Food - Jaggery Cube
,,,,,,,
Organic Tattva,40.5,45,100 g,veg,4.3,"Foodgrains, Oil & Masala",Organic Powder - Coriander
,,,,,,,
Organic Tattva,85.5,95,100 g,veg,4,"Foodgrains, Oil & Masala",Organic - Chana Masala
,,,,,,,
bb Royal,310,410,Combo,,,"Foodgrains, Oil & Masala",Organic - Urad Whole 500g + Tur/Toor Dal 500g + Chana Dal 500g + Moong Dal 500g
,,,,,,,
Organic Tattva,22.5,25,100 g,veg,4.4,"Foodgrains, Oil & Masala",Organic Seeds - Brown Mustard
,,,,,,,
Organic Tattva,76.5,85,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic Masoor - Sabut(Whole)
,,,,,,,
Organic Tattva,85.5,95,500 g,veg,4.2,"Foodgrains, Oil & Masala",Organic Urad - whole
,,,,,,,
Organic Tattva,210,210,100 g,,,"Foodgrains, Oil & Masala",Organic Cashews
,,,,,,,
Organic Tattva,193.5,215,100 g,veg,3.6,"Foodgrains, Oil & Masala",Organic - Wheat Grass Powder
,,,,,,,
Organic Tattva,89.1,99,100 g,veg,4.2,"Foodgrains, Oil & Masala",Organic - Triphala Powder
,,,,,,,
Organic Tattva,99,110,1 kg,veg,4.4,"Foodgrains, Oil & Masala",Organic Sona Masuri - Brown
,,,,,,,
Organic Tattva,99,99,100 g,,2.5,"Foodgrains, Oil & Masala",Organic Raisins
,,,,,,,
Organic Tattva,135,150,100 g,veg,4.7,"Foodgrains, Oil & Masala",Organic - Biryani Masala
,,,,,,,
Organic Tattva,89.1,99,100 g,veg,3.3,"Foodgrains, Oil & Masala",Organic - Rajma Masala
,,,,,,,
Organic Tattva,81,90,500 g,veg,4.3,"Foodgrains, Oil & Masala",Organic Masoor - Malka
,,,,,,,
Organic Tattva,495,550,1 L,veg,4.7,"Foodgrains, Oil & Masala",Organic - Sesame Oil
,,,,,,,
Organic Tattva,49.5,55,500 g,veg,4,"Foodgrains, Oil & Masala",Organic - Brown Suji
,,,,,,,
Organic Tattva,81,90,100 g,veg,3,"Foodgrains, Oil & Masala",Organic - Pav Bhaji Masala
,,,,,,,
Organic Tattva,58.5,65,100 g,veg,4.4,"Foodgrains, Oil & Masala",Organic - Rasam Powder
,,,,,,,
Organic Tattva,179.1,199,100 g,veg,4.2,"Foodgrains, Oil & Masala",Organic - Psyllium Husk
,,,,,,,
Organic Tattva,126,140,500 g,veg,4.5,"Foodgrains, Oil & Masala",Organic Rajma - Chitra
,,,,,,,
Organic Tattva,85.5,95,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic Dal - Chana
,,,,,,,
Organic Tattva,117,130,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic Kabuli Chana
,,,,,,,
Organic Tattva,90,120,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic (Tur)Dal - Arhar
,,,,,,,
Organic Tattva,108,120,500 g,veg,3.9,"Foodgrains, Oil & Masala",Organic Moong - Sabut(Whole)
,,,,,,,
Organic Tattva,121.5,135,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic Rajma - Red
,,,,,,,
24 Mantra,55,55,1 kg,veg,4.3,"Foodgrains, Oil & Masala",Organic Rice - Broken
,,,,,,,
Pro Nature,60,60,500 g,veg,3.9,"Foodgrains, Oil & Masala",Organic Flour - Ragi
,,,,,,,
Pro Nature,68,68,1 kg,veg,3.8,"Foodgrains, Oil & Masala",Organic Atta - Whole Wheat
,,,,,,,
MeraKisan,77,77,500 g,veg,4.2,"Foodgrains, Oil & Masala",Organic Brown Sugar
,,,,,,,
24 Mantra,45,45,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic Dhaliya - Wheat
,,,,,,,
Tata Sampann,190,200,1 kg,veg,4.3,"Foodgrains, Oil & Masala",Organic Chana Dal
,,,,,,,
MeraKisan,85,85,500 g,veg,4.4,"Foodgrains, Oil & Masala",Organic Jaggery Powder
,,,,,,,
Organic Tattva,27,30,100 g,veg,4.3,"Foodgrains, Oil & Masala",Fenugreek
,,,,,,,
Organic Tattva,126,140,1 kg,veg,3.8,"Foodgrains, Oil & Masala",Sugar
,,,,,,,
Eco Fresh,330,330,1 L,veg,,"Foodgrains, Oil & Masala",Organic Food - Sunflower Oil
,,,,,,,
Tata Sampann,137,137,500 g,veg,3.7,"Foodgrains, Oil & Masala",Organic Rajma - Red
,,,,,,,
24 Mantra,220,220,50 g,veg,4.6,"Foodgrains, Oil & Masala",Organic - Cloves
,,,,,,,
24 Mantra,61.2,68,500 g,veg,4,"Foodgrains, Oil & Masala",Organic Poha
,,,,,,,
MeraKisan,208,208,100 g,veg,3,"Foodgrains, Oil & Masala",Organic Almond
,,,,,,,
MeraKisan,80,80,500 g,veg,3.6,"Foodgrains, Oil & Masala",Organic Indrayani Rice
,,,,,,,
